gid,role,role_score,cluster_id,priority_score,evidence
100000000011452100,peripheral,0.4,0,0.39574561266536634,"peripheral: вход от 3, выход к 1; отдаёт 15.2%; оборот 126685 KZT"
100000000018102100,terminal,0.25,0,0.22753525197612834,"terminal: вход от 1, выход к 0; отдаёт 0.0%; оборот 7000 KZT; возможен артефакт обрыва графа на 4 колене"
100000000031787100,peripheral,0.4,1,0.31777109129391173,"peripheral: вход от 1, выход к 2; отдаёт 100.0%; оборот 180000 KZT"
100000000041368100,terminal,0.65,2,0.39374582640077094,"terminal: вход от 1, выход к 0; отдаёт 0.0%; оборот 160000 KZT; нет выхода в выборке"
100000000076451100,peripheral,0.4,3,0.40069600900616903,"peripheral: вход от 3, выход к 4; отдаёт 66.1%; оборот 145707 KZT"
100000000089154100,distributor,0.691069330199765,2,0.5207862394282127,"distributor: вход от 1, выход к 15; отдаёт 4255.0%; оборот 435500 KZT; рядом с входом ≤24ч: 27.4%"
100000000190228100,peripheral,0.4,4,0.3059063243723483,"peripheral: вход от 1, выход к 1; отдаёт 571.2%; оборот 33560 KZT"
100000000201868100,transit,0.8,5,0.4037151409436048,"transit: вход от 1, выход к 1; отдаёт 100.0%; оборот 380000 KZT; рядом с входом ≤24ч: 100.0%"
100000000254336100,peripheral,0.4,0,0.3433460222560588,"peripheral: вход от 2, выход к 1; отдаёт 61.7%; оборот 157177 KZT"
100000000267734100,distributor,0.7122340425531914,1,0.4970723675056606,"distributor: вход от 2, выход к 7; отдаёт 156.7%; оборот 462000 KZT; рядом с входом ≤24ч: 41.5%"
100000000274067100,peripheral,0.4,1,0.39925054258867465,"peripheral: вход от 2, выход к 3; отдаёт 573.5%; оборот 3486704 KZT"
100000000287768100,terminal,0.65,0,0.3095827393871452,"terminal: вход от 1, выход к 0; отдаёт 0.0%; оборот 35168 KZT; нет выхода в выборке"
100000000288317100,peripheral,0.4,0,0.35211091502189806,"peripheral: вход от 2, выход к 3; отдаёт 53.5%; оборот 153500 KZT"
100000000291906100,peripheral,0.4,6,0.3521741609708466,"peripheral: вход от 2, выход к 2; отдаёт 117.5%; оборот 843854 KZT"
100000000291908100,peripheral,0.4,6,0.33317635277330937,"peripheral: вход от 1, выход к 1; отдаёт 4.5%; оборот 308800 KZT"
100000000297649100,peripheral,0.4,7,0.3324312376592971,"peripheral: вход от 1, выход к 1; отдаёт 176.5%; оборот 110600 KZT"
100000000299820100,terminal,0.25,8,0.23278200775124674,"terminal: вход от 1, выход к 0; отдаёт 0.0%; оборот 10000 KZT; возможен артефакт обрыва графа на 4 колене"
100000000307908100,terminal,0.65,9,0.2892200028415821,"terminal: вход от 1, выход к 0; отдаёт 0.0%; оборот 5000 KZT; нет выхода в выборке"
100000000331309100,distributor,0.6868909793436262,10,0.6945881363950606,"distributor: вход от 5, выход к 99; отдаёт 2336.0%; оборот 23986010 KZT; рядом с входом ≤24ч: 24.6%"
100000000332284100,peripheral,0.4,10,0.4228325460492154,"peripheral: вход от 10, выход к 3; отдаёт 269.5%; оборот 396926 KZT"
