rank,gid,role,priority_score,why
1,100000003684369100,distributor,0.714136994616429,"Гипотеза distributor: вход от 24, выход к 62; выход/вход 223%; объём 12437091 KZT; FIFO 0–2д 44%; вход seed неполон. Приоритет 0.7141: роль 0.0619, объём 0.2403, связи 0.2336, близость seed 0.1000, охват seed 0.0783, сбор с малой отдачей 0.0000. Хопов: 0; seed в пределах 4 шагов: 6; транзакций вход/выход: 58/67. Правило: fan_out ≥5; временное сопоставление влияет на score, не на наличие рассылки. Дополнительные сигналы: ≥3 плательщиков за день; объём и степень выше P95 своего колена. Балл задаёт порядок ручной проверки, не вероятность виновности."
2,100000002398779100,consolidator,0.689942425075329,"Гипотеза consolidator: вход от 13, выход к 1; выход/вход 6%; объём 1161690 KZT. Приоритет 0.6899: роль 0.1218, объём 0.2055, связи 0.1417, близость seed 0.0333, охват seed 0.0721, сбор с малой отдачей 0.1156. Хопов: 2; seed в пределах 4 шагов: 5; транзакций вход/выход: 28/3. Правило: Не seed; fan_in ≥5; ratio ≤0.2. Дополнительные сигналы: ≥3 плательщиков за день. Балл задаёт порядок ручной проверки, не вероятность виновности."
3,100000003016635100,distributor,0.685313091103879,"Гипотеза distributor: вход от 8, выход к 73; выход/вход 1604%; объём 10001062 KZT; FIFO 0–2д 6%; вход seed неполон. Приоритет 0.6853: роль 0.0619, объём 0.2371, связи 0.2305, близость seed 0.1000, охват seed 0.0558, сбор с малой отдачей 0.0000. Хопов: 0; seed в пределах 4 шагов: 3; транзакций вход/выход: 36/151. Правило: fan_out ≥5; временное сопоставление влияет на score, не на наличие рассылки. Дополнительные сигналы: ≥3 плательщиков за день; объём и степень выше P95 своего колена. Балл задаёт порядок ручной проверки, не вероятность виновности."
4,100000004015047100,consolidator,0.684227754939847,"Гипотеза consolidator: вход от 9, выход к 1; выход/вход 8%; объём 988299 KZT. Приоритет 0.6842: роль 0.1181, объём 0.2031, связи 0.1254, близость seed 0.0500, охват seed 0.0884, сбор с малой отдачей 0.0992. Хопов: 1; seed в пределах 4 шагов: 8; транзакций вход/выход: 18/7. Правило: Не seed; fan_in ≥5; ratio ≤0.2. Дополнительные сигналы: Дополнительных сигналов нет. Балл задаёт порядок ручной проверки, не вероятность виновности."
5,100000006866783100,distributor,0.6738311859482817,"Гипотеза distributor: вход от 13, выход к 67; выход/вход 471%; объём 4786849 KZT; FIFO 0–2д 21%; вход seed неполон. Приоритет 0.6738: роль 0.0619, объём 0.2263, связи 0.2299, близость seed 0.1000, охват seed 0.0558, сбор с малой отдачей 0.0000. Хопов: 0; seed в пределах 4 шагов: 3; транзакций вход/выход: 31/90. Правило: fan_out ≥5; временное сопоставление влияет на score, не на наличие рассылки. Дополнительные сигналы: ≥3 плательщиков за день; объём и степень выше P95 своего колена. Балл задаёт порядок ручной проверки, не вероятность виновности."
6,100000000331309100,distributor,0.6656427144935166,"Гипотеза distributor: вход от 5, выход к 99; выход/вход 2336%; объём 23986010 KZT; FIFO 0–2д 4%. Приоритет 0.6656: роль 0.0741, объём 0.2500, связи 0.2435, близость seed 0.0333, охват seed 0.0648, сбор с малой отдачей 0.0000. Хопов: 2; seed в пределах 4 шагов: 4; транзакций вход/выход: 8/126. Правило: fan_out ≥5; временное сопоставление влияет на score, не на наличие рассылки. Дополнительные сигналы: ≥3 плательщиков за день; объём и степень выше P95 своего колена. Балл задаёт порядок ручной проверки, не вероятность виновности."
7,100000008165763100,coordinator,0.6625524914101882,"Гипотеза coordinator: вход от 15, выход к 17; выход/вход 109%; объём 2433673 KZT; seed ≤2 шага: 3, ветвей: 15. Приоритет 0.6626: роль 0.1350, объём 0.2163, связи 0.1829, близость seed 0.0500, охват seed 0.0783, сбор с малой отдачей 0.0000. Хопов: 1; seed в пределах 4 шагов: 6; транзакций вход/выход: 26/17. Правило: Обе степени ≥5, баланс ≤2×; объём ≥P90=741811.70 KZT; seed за ≤2 шага ≥2; ветвей ≥2; не выполнено правило консолидации. Дополнительные сигналы: ≥3 плательщиков за день; объём и степень выше P95 своего колена. Балл задаёт порядок ручной проверки, не вероятность виновности."
8,100000000343175100,distributor,0.6439034286087763,"Гипотеза distributor: вход от 8, выход к 31; выход/вход 2238%; объём 4178751 KZT; FIFO 0–2д 4%; вход seed неполон. Приоритет 0.6439: роль 0.0619, объём 0.2243, связи 0.1930, близость seed 0.1000, охват seed 0.0648, сбор с малой отдачей 0.0000. Хопов: 0; seed в пределах 4 шагов: 4; транзакций вход/выход: 14/33. Правило: fan_out ≥5; временное сопоставление влияет на score, не на наличие рассылки. Дополнительные сигналы: Дополнительных сигналов нет. Балл задаёт порядок ручной проверки, не вероятность виновности."
9,100000008603629100,distributor,0.6404729741150879,"Гипотеза distributor: вход от 19, выход к 61; выход/вход 274%; объём 6803456 KZT; FIFO 0–2д 36%. Приоритет 0.6405: роль 0.0810, объём 0.2315, связи 0.2299, близость seed 0.0333, охват seed 0.0648, сбор с малой отдачей 0.0000. Хопов: 2; seed в пределах 4 шагов: 4; транзакций вход/выход: 45/74. Правило: fan_out ≥5; временное сопоставление влияет на score, не на наличие рассылки. Дополнительные сигналы: ≥3 плательщиков за день; объём и степень выше P95 своего колена. Балл задаёт порядок ручной проверки, не вероятность виновности."
10,100000008686313100,consolidator,0.6349038595492902,"Гипотеза consolidator: вход от 6, выход к 7; выход/вход 17%; объём 2246516 KZT. Приоритет 0.6349: роль 0.1010, объём 0.2152, связи 0.1381, близость seed 0.0500, охват seed 0.0558, сбор с малой отдачей 0.0749. Хопов: 1; seed в пределах 4 шагов: 3; транзакций вход/выход: 16/13. Правило: Не seed; fan_in ≥5; ratio ≤0.2. Дополнительные сигналы: объём и степень выше P95 своего колена. Балл задаёт порядок ручной проверки, не вероятность виновности."
